,index_code,con_code,trade_date,weight
0,h30255.CSI,603939.SH,20191129,2.825
1,h30255.CSI,603883.SH,20191129,1.922
2,h30255.CSI,603233.SH,20191129,1.302
3,h30255.CSI,600993.SH,20191129,1.267
4,h30255.CSI,600763.SH,20191129,4.885
5,h30255.CSI,600750.SH,20191129,0.941
6,h30255.CSI,600664.SH,20191129,1.388
7,h30255.CSI,600645.SH,20191129,1.316
8,h30255.CSI,600572.SH,20191129,2.852
9,h30255.CSI,600557.SH,20191129,1.447
10,h30255.CSI,600521.SH,20191129,3.044
11,h30255.CSI,600511.SH,20191129,1.831
12,h30255.CSI,600380.SH,20191129,2.333
13,h30255.CSI,600329.SH,20191129,0.933
14,h30255.CSI,600267.SH,20191129,1.501
15,h30255.CSI,600216.SH,20191129,2.061
16,h30255.CSI,600201.SH,20191129,5.342
17,h30255.CSI,600195.SH,20191129,1.26
18,h30255.CSI,600161.SH,20191129,3.386
19,h30255.CSI,600079.SH,20191129,2.983
20,h30255.CSI,600062.SH,20191129,1.583
21,h30255.CSI,600056.SH,20191129,1.641
22,h30255.CSI,300244.SZ,20191129,1.988
23,h30255.CSI,300199.SZ,20191129,0.644
24,h30255.CSI,300026.SZ,20191129,1.541
25,h30255.CSI,300253.SZ,20191129,4.846
26,h30255.CSI,300009.SZ,20191129,2.31
27,h30255.CSI,002821.SZ,20191129,4.187
28,h30255.CSI,002603.SZ,20191129,1.67
29,h30255.CSI,002589.SZ,20191129,2.125
30,h30255.CSI,002437.SZ,20191129,0.673
31,h30255.CSI,002424.SZ,20191129,1.147
32,h30255.CSI,002399.SZ,20191129,1.583
33,h30255.CSI,002390.SZ,20191129,1.332
34,h30255.CSI,002382.SZ,20191129,0.861
35,h30255.CSI,002332.SZ,20191129,1.926
36,h30255.CSI,002317.SZ,20191129,1.573
37,h30255.CSI,002223.SZ,20191129,2.88
38,h30255.CSI,002118.SZ,20191129,0.696
39,h30255.CSI,002038.SZ,20191129,1.889
40,h30255.CSI,002030.SZ,20191129,1.434
41,h30255.CSI,002019.SZ,20191129,2.47
42,h30255.CSI,000999.SZ,20191129,2.821
43,h30255.CSI,000813.SZ,20191129,1.334
44,h30255.CSI,000766.SZ,20191129,0.765
45,h30255.CSI,000623.SZ,20191129,3.524
46,h30255.CSI,000513.SZ,20191129,2.823
47,h30255.CSI,000078.SZ,20191129,1.317
48,h30255.CSI,000028.SZ,20191129,1.596
49,h30255.CSI,603939.SH,20191031,3.032
50,h30255.CSI,603883.SH,20191031,1.852
51,h30255.CSI,603233.SH,20191031,1.361
52,h30255.CSI,600993.SH,20191031,1.292
53,h30255.CSI,600763.SH,20191031,4.53
54,h30255.CSI,600750.SH,20191031,1.016
55,h30255.CSI,600664.SH,20191031,1.352
56,h30255.CSI,600645.SH,20191031,1.318
57,h30255.CSI,600572.SH,20191031,3.109
58,h30255.CSI,600557.SH,20191031,1.737
59,h30255.CSI,600521.SH,20191031,2.949
60,h30255.CSI,600511.SH,20191031,1.817
61,h30255.CSI,600380.SH,20191031,2.13
62,h30255.CSI,600329.SH,20191031,0.949
63,h30255.CSI,600267.SH,20191031,1.452
64,h30255.CSI,600216.SH,20191031,1.821
65,h30255.CSI,600201.SH,20191031,5.653
66,h30255.CSI,600195.SH,20191031,1.576
67,h30255.CSI,600161.SH,20191031,3.319
68,h30255.CSI,600079.SH,20191031,2.815
69,h30255.CSI,600062.SH,20191031,1.574
70,h30255.CSI,600056.SH,20191031,1.652
71,h30255.CSI,300253.SZ,20191031,5.125
72,h30255.CSI,300244.SZ,20191031,1.882
73,h30255.CSI,300199.SZ,20191031,0.649
74,h30255.CSI,300009.SZ,20191031,2.369
75,h30255.CSI,002821.SZ,20191031,4.203
76,h30255.CSI,002603.SZ,20191031,1.582
77,h30255.CSI,300026.SZ,20191031,1.468
78,h30255.CSI,002589.SZ,20191031,2.062
79,h30255.CSI,002437.SZ,20191031,0.673
80,h30255.CSI,002424.SZ,20191031,1.29
81,h30255.CSI,002399.SZ,20191031,1.48
82,h30255.CSI,002390.SZ,20191031,1.353
83,h30255.CSI,002382.SZ,20191031,0.918
84,h30255.CSI,002332.SZ,20191031,1.445
85,h30255.CSI,002317.SZ,20191031,1.469
86,h30255.CSI,002223.SZ,20191031,3.068
87,h30255.CSI,002118.SZ,20191031,0.778
88,h30255.CSI,002038.SZ,20191031,1.885
89,h30255.CSI,002030.SZ,20191031,1.395
90,h30255.CSI,002019.SZ,20191031,2.239
91,h30255.CSI,000999.SZ,20191031,2.734
92,h30255.CSI,000813.SZ,20191031,1.759
93,h30255.CSI,000766.SZ,20191031,0.895
94,h30255.CSI,000623.SZ,20191031,3.474
95,h30255.CSI,000513.SZ,20191031,2.541
96,h30255.CSI,000078.SZ,20191031,1.311
97,h30255.CSI,000028.SZ,20191031,1.647
98,h30255.CSI,603939.SH,20190930,2.874
99,h30255.CSI,603883.SH,20190930,2.1
100,h30255.CSI,600993.SH,20190930,1.224
101,h30255.CSI,600763.SH,20190930,4.771
102,h30255.CSI,600750.SH,20190930,0.937
103,h30255.CSI,603233.SH,20190930,1.438
104,h30255.CSI,600664.SH,20190930,1.399
105,h30255.CSI,600645.SH,20190930,1.367
106,h30255.CSI,600572.SH,20190930,2.859
107,h30255.CSI,600557.SH,20190930,1.687
108,h30255.CSI,600521.SH,20190930,2.364
109,h30255.CSI,600511.SH,20190930,2.016
110,h30255.CSI,600380.SH,20190930,2.3
111,h30255.CSI,600329.SH,20190930,0.945
112,h30255.CSI,600267.SH,20190930,1.351
113,h30255.CSI,600216.SH,20190930,1.872
114,h30255.CSI,600201.SH,20190930,5.294
115,h30255.CSI,600195.SH,20190930,1.451
116,h30255.CSI,600161.SH,20190930,3.59
117,h30255.CSI,600079.SH,20190930,2.824
118,h30255.CSI,600062.SH,20190930,1.54
119,h30255.CSI,600056.SH,20190930,1.671
120,h30255.CSI,300253.SZ,20190930,4.986
121,h30255.CSI,300244.SZ,20190930,2.207
122,h30255.CSI,300199.SZ,20190930,0.814
123,h30255.CSI,300026.SZ,20190930,1.46
124,h30255.CSI,300009.SZ,20190930,2.298
125,h30255.CSI,002821.SZ,20190930,3.959
126,h30255.CSI,002603.SZ,20190930,1.574
127,h30255.CSI,002589.SZ,20190930,2.336
128,h30255.CSI,002437.SZ,20190930,0.668
129,h30255.CSI,002424.SZ,20190930,1.416
130,h30255.CSI,002399.SZ,20190930,1.684
131,h30255.CSI,002390.SZ,20190930,1.343
132,h30255.CSI,002382.SZ,20190930,0.9
133,h30255.CSI,002332.SZ,20190930,1.337
134,h30255.CSI,002317.SZ,20190930,1.611
135,h30255.CSI,002223.SZ,20190930,3.143
136,h30255.CSI,002118.SZ,20190930,0.798
137,h30255.CSI,002038.SZ,20190930,1.861
138,h30255.CSI,002030.SZ,20190930,1.364
139,h30255.CSI,002019.SZ,20190930,2.349
140,h30255.CSI,000999.SZ,20190930,2.759
141,h30255.CSI,000813.SZ,20190930,1.69
142,h30255.CSI,000766.SZ,20190930,0.83
143,h30255.CSI,000623.SZ,20190930,3.466
144,h30255.CSI,000513.SZ,20190930,2.369
145,h30255.CSI,000078.SZ,20190930,1.331
146,h30255.CSI,000028.SZ,20190930,1.571
147,h30255.CSI,603939.SH,20190830,2.794
148,h30255.CSI,603883.SH,20190830,2.093
149,h30255.CSI,600993.SH,20190830,1.232
150,h30255.CSI,600763.SH,20190830,4.603
151,h30255.CSI,600750.SH,20190830,0.967
152,h30255.CSI,603233.SH,20190830,1.475
153,h30255.CSI,600664.SH,20190830,1.458
154,h30255.CSI,600645.SH,20190830,1.49
155,h30255.CSI,600572.SH,20190830,2.797
156,h30255.CSI,600557.SH,20190830,1.728
157,h30255.CSI,600521.SH,20190830,2.795
158,h30255.CSI,600511.SH,20190830,2.17
159,h30255.CSI,600380.SH,20190830,2.221
160,h30255.CSI,600329.SH,20190830,0.982
161,h30255.CSI,600267.SH,20190830,1.485
162,h30255.CSI,600216.SH,20190830,2.158
163,h30255.CSI,600201.SH,20190830,4.574
164,h30255.CSI,600195.SH,20190830,1.661
165,h30255.CSI,600161.SH,20190830,3.49
166,h30255.CSI,600079.SH,20190830,2.598
167,h30255.CSI,600062.SH,20190830,1.686
168,h30255.CSI,600056.SH,20190830,1.699
169,h30255.CSI,300253.SZ,20190830,4.598
170,h30255.CSI,300244.SZ,20190830,1.964
171,h30255.CSI,300199.SZ,20190830,0.876
172,h30255.CSI,300026.SZ,20190830,1.46
173,h30255.CSI,300009.SZ,20190830,2.3
174,h30255.CSI,002821.SZ,20190830,3.682
175,h30255.CSI,002603.SZ,20190830,1.559
176,h30255.CSI,002589.SZ,20190830,2.173
177,h30255.CSI,002437.SZ,20190830,0.738
178,h30255.CSI,002424.SZ,20190830,1.213
179,h30255.CSI,002399.SZ,20190830,1.882
180,h30255.CSI,002390.SZ,20190830,1.312
181,h30255.CSI,002382.SZ,20190830,0.936
182,h30255.CSI,002332.SZ,20190830,1.336
183,h30255.CSI,002317.SZ,20190830,1.742
184,h30255.CSI,002223.SZ,20190830,3.157
185,h30255.CSI,002118.SZ,20190830,0.78
186,h30255.CSI,002038.SZ,20190830,1.978
187,h30255.CSI,002030.SZ,20190830,1.394
188,h30255.CSI,002019.SZ,20190830,2.254
189,h30255.CSI,000999.SZ,20190830,2.798
190,h30255.CSI,000813.SZ,20190830,1.608
191,h30255.CSI,000766.SZ,20190830,0.895
192,h30255.CSI,000623.SZ,20190830,3.566
193,h30255.CSI,000513.SZ,20190830,2.553
194,h30255.CSI,000078.SZ,20190830,1.372
195,h30255.CSI,000028.SZ,20190830,1.718
196,h30255.CSI,603939.SH,20190731,2.684
197,h30255.CSI,603883.SH,20190731,1.865
198,h30255.CSI,603233.SH,20190731,1.314
199,h30255.CSI,600993.SH,20190731,1.39
200,h30255.CSI,600763.SH,20190731,4.124
201,h30255.CSI,600750.SH,20190731,0.988
202,h30255.CSI,600664.SH,20190731,1.495
203,h30255.CSI,600645.SH,20190731,1.513
204,h30255.CSI,600572.SH,20190731,3.035
205,h30255.CSI,600557.SH,20190731,1.613
206,h30255.CSI,600521.SH,20190731,3.131
207,h30255.CSI,600511.SH,20190731,1.826
208,h30255.CSI,600380.SH,20190731,2.151
209,h30255.CSI,600329.SH,20190731,0.965
210,h30255.CSI,600267.SH,20190731,1.537
211,h30255.CSI,600216.SH,20190731,1.924
212,h30255.CSI,600201.SH,20190731,4.554
213,h30255.CSI,600195.SH,20190731,1.236
214,h30255.CSI,600161.SH,20190731,3.465
215,h30255.CSI,600079.SH,20190731,2.59
216,h30255.CSI,600062.SH,20190731,1.693
217,h30255.CSI,600056.SH,20190731,1.865
218,h30255.CSI,300244.SZ,20190731,1.893
219,h30255.CSI,300199.SZ,20190731,0.991
220,h30255.CSI,300026.SZ,20190731,1.572
221,h30255.CSI,300253.SZ,20190731,4.547
222,h30255.CSI,300009.SZ,20190731,2.534
223,h30255.CSI,002821.SZ,20190731,3.349
224,h30255.CSI,002603.SZ,20190731,1.667
225,h30255.CSI,002589.SZ,20190731,2.405
226,h30255.CSI,002437.SZ,20190731,0.792
227,h30255.CSI,002424.SZ,20190731,1.319
228,h30255.CSI,002399.SZ,20190731,1.926
229,h30255.CSI,002390.SZ,20190731,1.391
230,h30255.CSI,002382.SZ,20190731,0.979
231,h30255.CSI,002332.SZ,20190731,1.261
232,h30255.CSI,002317.SZ,20190731,1.441
