,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,h30255.CSI,20190709,10031.8167,9988.8226,10057.1147,9971.2671,10006.6561,25.1606,0.2514,3879921.93,4765896.048
1,h30255.CSI,20190708,10006.6561,10305.452,10306.7243,9957.1732,10319.7548,-313.0987,-3.034,5864189.61,6773763.31
2,h30255.CSI,20190705,10319.7548,10231.6392,10348.1883,10208.8274,10200.9375,118.8173,1.1648,4430570.91,5625613.843
3,h30255.CSI,20190704,10200.9375,10268.6336,10312.6412,10160.5071,10254.7818,-53.8443,-0.5251,4042852.77,5201771.133
4,h30255.CSI,20190703,10254.7818,10348.0508,10349.2446,10218.0311,10366.7174,-111.9356,-1.0798,4893688.98,6039816.101
5,h30255.CSI,20190702,10366.7174,10335.6752,10384.9823,10282.028,10334.6847,32.0327,0.31,5625306.04,6863624.524
6,h30255.CSI,20190701,10334.6847,10235.0757,10336.2439,10184.361,10058.6922,275.9925,2.7438,6111574.22,7330094.243
7,h30255.CSI,20190612,9538.7048,9616.8606,9649.3675,9515.2807,9628.1888,-89.484,-0.9294,4471635.1,4611301.107
8,h30255.CSI,20190611,9628.1888,9308.6384,9637.9524,9305.3969,9292.4086,335.7802,3.6135,5503519.45,5811470.352
9,h30255.CSI,20190610,9292.4086,9235.9388,9363.8831,9186.87,9201.6558,90.7528,0.9863,3503297.86,3766487.755
10,h30255.CSI,20190606,9201.6558,9397.9572,9399.7014,9201.6558,9429.778,-228.1222,-2.4192,4978757.96,5138897.49
11,h30255.CSI,20190605,9429.778,9650.2824,9674.0408,9420.3958,9578.8618,-149.0838,-1.5564,4598673.91,5212986.679
12,h30255.CSI,20190604,9578.8618,9652.6365,9695.3896,9540.8354,9667.5984,-88.7366,-0.9179,4089239.56,4243744.229
13,h30255.CSI,20190603,9667.5984,9816.7666,9858.0536,9632.5238,9797.8074,-130.209,-1.329,5482007.78,5096617.543
14,h30255.CSI,20190531,9797.8074,9835.4271,9905.9982,9779.7099,9844.2343,-46.4269,-0.4716,4520744.43,4543639.519
15,h30255.CSI,20190530,9844.2343,9911.9004,9913.8635,9735.0879,9960.0578,-115.8235,-1.1629,6082151.44,5677641.285
16,h30255.CSI,20190529,9960.0578,9999.5264,10028.5109,9925.5172,10025.1352,-65.0774,-0.6491,4682124.77,4558987.202
17,h30255.CSI,20190528,10025.1352,10054.4597,10103.4248,9972.1251,10046.052,-20.9168,-0.2082,5076549.89,5530578.32
18,h30255.CSI,20190527,10046.052,9893.233,10072.2009,9818.4823,9859.0256,187.0264,1.897,4961221.74,5539616.66
19,h30255.CSI,20190524,9859.0256,9848.1156,9941.5583,9812.4834,9872.0881,-13.0625,-0.1323,4112356.26,4441508.979
20,h30255.CSI,20190523,9872.0881,10045.6577,10045.6577,9851.3593,10073.0888,-201.0007,-1.9954,4170036.67,4565735.099
21,h30255.CSI,20190522,10073.0888,10128.3405,10158.6748,10011.9976,10131.9093,-58.8205,-0.5805,4208100.16,4754318.007
22,h30255.CSI,20190521,10131.9093,9973.0402,10202.6287,9950.4354,9974.1745,157.7348,1.5814,5068933.86,5840071.518
23,h30255.CSI,20190520,9974.1745,10105.4704,10133.2584,9841.7547,10123.5506,-149.3761,-1.4755,5692303.06,6125264.138
24,h30255.CSI,20190517,10123.5506,10427.1998,10437.2956,10094.0954,10433.0905,-309.5399,-2.9669,7093239.97,7918230.318
25,h30255.CSI,20190516,10433.0905,10328.0768,10445.9795,10271.0189,10343.8181,89.2724,0.8631,5853689.52,7121084.303
26,h30255.CSI,20190515,10343.8181,10163.213,10344.3891,10130.7866,10076.776,267.0421,2.6501,6355867.32,7549404.661
27,h30255.CSI,20190514,10076.776,10041.1671,10186.1797,10040.5895,10161.0724,-84.2964,-0.8296,4966336.88,5670444.622
28,h30255.CSI,20190513,10161.0724,10148.6211,10212.8802,10112.7644,10251.3401,-90.2677,-0.8805,5059838.35,5751128.75
29,h30255.CSI,20190510,10251.3401,10070.7447,10254.1633,9855.6382,9969.4896,281.8505,2.8271,6726738.69,7762581.89
30,h30255.CSI,20190509,9969.4896,10143.3046,10208.6067,9948.3652,10235.335,-265.8454,-2.5973,5994063.73,6847135.162
31,h30255.CSI,20190508,10235.335,10063.5527,10418.1215,10024.7514,10232.8032,2.5318,0.0247,8079895.74,9195950.09
32,h30255.CSI,20190507,10232.8032,10086.2769,10313.9419,10066.7673,10044.2264,188.5768,1.8775,7802359.4,8951270.887
33,h30255.CSI,20190506,10044.2264,10334.402,10389.4421,9954.2354,10679.1523,-634.9259,-5.9455,9053946.01,10401425.253
34,h30255.CSI,20190430,10679.1523,10544.8944,10785.295,10538.9674,10583.0901,96.0622,0.9077,7010523.38,8249106.329
